,rank,artist,artist_list,song,ratings,hits,type,song_link,artist_link,star_count
169,170,Aerosmith,['Aerosmith'],I Dont Want To Miss A Thing,"2,743","5,417,401",chords,https://tabs.ultimate-guitar.com/tab/aerosmith/i-dont-want-to-miss-a-thing-chords-59465,https://www.ultimate-guitar.com/artist/aerosmith_2022,5.0
170,171,Stephen Sanchez,['Stephen Sanchez'],Until I Found You (ver 2),"5,460","5,350,764",chords,https://tabs.ultimate-guitar.com/tab/stephen-sanchez/until-i-found-you-chords-3860363,https://www.ultimate-guitar.com/artist/stephen_sanchez_597908,5.0
171,172,Oasis,['Oasis'],Wonderwall (ver 5),"1,218","5,342,341",chords,https://tabs.ultimate-guitar.com/tab/oasis/wonderwall-chords-165916,https://www.ultimate-guitar.com/artist/oasis_734,5.0
172,173,Tom Odell,['Tom Odell'],Another Love,"6,912","5,326,968",chords,https://tabs.ultimate-guitar.com/tab/tom-odell/another-love-chords-1198980,https://www.ultimate-guitar.com/artist/tom_odell_39037,5.0
173,174,Lukas Graham,['Lukas Graham'],7 Years (ver 2),"6,278","5,320,939",chords,https://tabs.ultimate-guitar.com/tab/lukas-graham/7-years-chords-1752864,https://www.ultimate-guitar.com/artist/lukas_graham_35652,5.0
174,175,Parokya ni Edgar,['Parokya ni Edgar'],Harana,822,"5,311,604",chords,https://tabs.ultimate-guitar.com/tab/parokya-ni-edgar/harana-chords-79821,https://www.ultimate-guitar.com/artist/parokya_ni_edgar_2752,5.0
175,176,Metallica,['Metallica'],Nothing Else Matters,"3,502","5,300,860",chords,https://tabs.ultimate-guitar.com/tab/metallica/nothing-else-matters-chords-8802,https://www.ultimate-guitar.com/artist/metallica_954,5.0
176,177,Queen,['Queen'],Bohemian Rhapsody,"2,512","5,294,067",chords,https://tabs.ultimate-guitar.com/tab/queen/bohemian-rhapsody-chords-40606,https://www.ultimate-guitar.com/artist/queen_590,5.0
177,178,Ed Sheeran,['Ed Sheeran'],The A Team (ver 11),"3,062","5,224,364",chords,https://tabs.ultimate-guitar.com/tab/ed-sheeran/the-a-team-chords-1196902,https://www.ultimate-guitar.com/artist/ed_sheeran_30232,5.0
178,179,Conan Gray,['Conan Gray'],Heather,"10,049","5,206,251",chords,https://tabs.ultimate-guitar.com/tab/conan-gray/heather-chords-3034029,https://www.ultimate-guitar.com/artist/conan_gray_75477,5.0
179,180,Old Crow Medicine Show,['Old Crow Medicine Show'],Wagon Wheel,"9,172","5,163,093",chords,https://tabs.ultimate-guitar.com/tab/old-crow-medicine-show/wagon-wheel-chords-754823,https://www.ultimate-guitar.com/artist/old_crow_medicine_show_11847,5.0
180,181,One Direction,['One Direction'],Little Things (ver 3),"3,388","5,158,827",chords,https://tabs.ultimate-guitar.com/tab/one-direction/little-things-chords-1191790,https://www.ultimate-guitar.com/artist/one_direction_31267,5.0
181,182,Taylor Swift,['Taylor Swift'],Teardrops On My Guitar,"4,360","5,156,241",chords,https://tabs.ultimate-guitar.com/tab/taylor-swift/teardrops-on-my-guitar-chords-429289,https://www.ultimate-guitar.com/artist/taylor_swift_16027,5.0
